CG Iteration #1, relres 0.3491914907260799, actualerr(2-norm) 0.9738485080360585, actualerr(A-norm) 0.2479338842975205
CG Iteration #2, relres 0.1862085310314019, actualerr(2-norm) 0.9608591292261833, actualerr(A-norm) 0.1086825262649437
CG Iteration #3, relres 0.1175472962094620, actualerr(2-norm) 0.9518721635561810, actualerr(A-norm) 0.0599678838666402
CG Iteration #4, relres 0.0811201382924187, actualerr(2-norm) 0.9448474814279084, actualerr(A-norm) 0.0374448710951066
CG Iteration #5, relres 0.0590787326979287, actualerr(2-norm) 0.9389851637485082, actualerr(A-norm) 0.0252356636867026
CG Iteration #6, relres 0.0445685093894827, actualerr(2-norm) 0.9338842838543240, actualerr(A-norm) 0.0178993747003001
CG Iteration #7, relres 0.0344476694727268, actualerr(2-norm) 0.9293139580131683, actualerr(A-norm) 0.0131628221387108
CG Iteration #8, relres 0.0270905667169579, actualerr(2-norm) 0.9251287788768126, actualerr(A-norm) 0.0099396058076809
CG Iteration #9, relres 0.0215775292297944, actualerr(2-norm) 0.9212312833112913, actualerr(A-norm) 0.0076571284786896
CG Iteration #10, relres 0.0173511358851817, actualerr(2-norm) 0.9175530951029858, actualerr(A-norm) 0.0059901707009114
CG Iteration #11, relres 0.0140544105945021, actualerr(2-norm) 0.9140445575595854, actualerr(A-norm) 0.0047427595269546
CG Iteration #12, relres 0.0114482472044060, actualerr(2-norm) 0.9106686281745474, actualerr(A-norm) 0.0037909872178016
CG Iteration #13, relres 0.0093664407393973, actualerr(2-norm) 0.9073970822424217, actualerr(A-norm) 0.0030533219659495
CG Iteration #14, relres 0.0076898451440743, actualerr(2-norm) 0.9042080454589045, actualerr(A-norm) 0.0024742810155707
CG Iteration #15, relres 0.0063308286960811, actualerr(2-norm) 0.9010843303023468, actualerr(A-norm) 0.0020150101593823
CG Iteration #16, relres 0.0052235462892249, actualerr(2-norm) 0.8980122791047808, actualerr(A-norm) 0.0016476214550800
CG Iteration #17, relres 0.0043176361063915, actualerr(2-norm) 0.8949809379950199, actualerr(A-norm) 0.0013516676607093
CG Iteration #18, relres 0.0035740066279976, actualerr(2-norm) 0.8919814535890911, actualerr(A-norm) 0.0011118782774342
CG Iteration #19, relres 0.0029619415389449, actualerr(2-norm) 0.8890066236860644, actualerr(A-norm) 0.0009166654663949
CG Iteration #20, relres 0.0024570601462545, actualerr(2-norm) 0.8860505569733275, actualerr(A-norm) 0.0007571136322696
CG Iteration #21, relres 0.0020398481317153, actualerr(2-norm) 0.8831084115169684, actualerr(A-norm) 0.0006262808482523
CG Iteration #22, relres 0.0016945779207067, actualerr(2-norm) 0.8801761912588306, actualerr(A-norm) 0.0005187060904164
CG Iteration #23, relres 0.0014085012503924, actualerr(2-norm) 0.8772505859328417, actualerr(A-norm) 0.0004300552193007
CG Iteration #24, relres 0.0011712358632756, actualerr(2-norm) 0.8743288439623188, actualerr(A-norm) 0.0003568623407583
CG Iteration #25, relres 0.0009742932796187, actualerr(2-norm) 0.8714086707376649, actualerr(A-norm) 0.0002963379272454
CG Iteration #26, relres 0.0008107108716590, actualerr(2-norm) 0.8684881466513166, actualerr(A-norm) 0.0002462244589986
CG Iteration #27, relres 0.0006747622555985, actualerr(2-norm) 0.8655656606688747, actualerr(A-norm) 0.0002046864242112
CG Iteration #28, relres 0.0005617273158575, actualerr(2-norm) 0.8626398562256539, actualerr(A-norm) 0.0001702255291655
CG Iteration #29, relres 0.0004677082018810, actualerr(2-norm) 0.8597095869769457, actualerr(A-norm) 0.0001416146604229
CG Iteration #30, relres 0.0003894811586985, actualerr(2-norm) 0.8567738804786108, actualerr(A-norm) 0.0001178459743043
CG Iteration #31, relres 0.0003243765597513, actualerr(2-norm) 0.8538319082867832, actualerr(A-norm) 0.0000980897557485
CG Iteration #32, relres 0.0002701813238979, actualerr(2-norm) 0.8508829612790949, actualerr(A-norm) 0.0000816615762923
CG Iteration #33, relres 0.0002250592293758, actualerr(2-norm) 0.8479264292411602, actualerr(A-norm) 0.0000679959111323
CG Iteration #34, relres 0.0001874856277654, actualerr(2-norm) 0.8449617839496817, actualerr(A-norm) 0.0000566248284121
CG Iteration #35, relres 0.0001561938073518, actualerr(2-norm) 0.8419885651307599, actualerr(A-norm) 0.0000471606937915
CG Iteration #36, relres 0.0001301308245368, actualerr(2-norm) 0.8390063687885017, actualerr(A-norm) 0.0000392820764184
CG Iteration #37, relres 0.0001084210608945, actualerr(2-norm) 0.8360148374919015, actualerr(A-norm) 0.0000327222235661
CG Iteration #38, relres 0.0000903361053181, actualerr(2-norm) 0.8330136522825237, actualerr(A-norm) 0.0000272596076996
CG Iteration #39, relres 0.0000752698293445, actualerr(2-norm) 0.8300025259256952, actualerr(A-norm) 0.0000227101536840
CG Iteration #40, relres 0.0000627177365492, actualerr(2-norm) 0.8269811972767520, actualerr(A-norm) 0.0000189208337995
CG Iteration #41, relres 0.0000522598366955, actualerr(2-norm) 0.8239494265736814, actualerr(A-norm) 0.0000157643802976
CG Iteration #42, relres 0.0000435464316368, actualerr(2-norm) 0.8209069915000646, actualerr(A-norm) 0.0000131349138403
CG Iteration #43, relres 0.0000362863100217, actualerr(2-norm) 0.8178536838889487, actualerr(A-norm) 0.0000109443245248
CG Iteration #44, relres 0.0000302369371160, actualerr(2-norm) 0.8147893069602795, actualerr(A-norm) 0.0000091192726947
CG Iteration #45, relres 0.0000251962987634, actualerr(2-norm) 0.8117136730026736, actualerr(A-norm) 0.0000075987011397
CG Iteration #46, relres 0.0000209961179353, actualerr(2-norm) 0.8086266014253165, actualerr(A-norm) 0.0000063317699179
CG Iteration #47, relres 0.0000174962110450, actualerr(2-norm) 0.8055279171182023, actualerr(A-norm) 0.0000052761409166
CG Iteration #48, relres 0.0000145797912507, actualerr(2-norm) 0.8024174490692338, actualerr(A-norm) 0.0000043965521625
CG Iteration #49, relres 0.0000121495589644, actualerr(2-norm) 0.7992950291952640, actualerr(A-norm) 0.0000036636324147
CG Iteration #50, relres 0.0000101244470107, actualerr(2-norm) 0.7961604913512691, actualerr(A-norm) 0.0000030529151759
CG Iteration #51, relres 0.0000084369103907, actualerr(2-norm) 0.7930136704877673, actualerr(A-norm) 0.0000025440183197
CG Iteration #52, relres 0.0000070306692288, actualerr(2-norm) 0.7898544019315149, actualerr(A-norm) 0.0000021199613379
CG Iteration #53, relres 0.0000058588289218, actualerr(2-norm) 0.7866825207686230, actualerr(A-norm) 0.0000017665969993
CG Iteration #54, relres 0.0000048823143097, actualerr(2-norm) 0.7834978613126504, actualerr(A-norm) 0.0000014721381606
CG Iteration #55, relres 0.0000040685653107, actualerr(2-norm) 0.7803002566430826, actualerr(A-norm) 0.0000012267637415
CG Iteration #56, relres 0.0000033904502959, actualerr(2-norm) 0.7770895382019790, actualerr(A-norm) 0.0000010222905772
CG Iteration #57, relres 0.0000028253608049, actualerr(2-norm) 0.7738655354385555, actualerr(A-norm) 0.0000008519001057
CG Iteration #58, relres 0.0000023544573086, actualerr(2-norm) 0.7706280754931188, actualerr(A-norm) 0.0000007099107071
CG Iteration #59, relres 0.0000019620407929, actualerr(2-norm) 0.7673769829131479, actualerr(A-norm) 0.0000005915880563
CG Iteration #60, relres 0.0000016350291577, actualerr(2-norm) 0.7641120793954657, actualerr(A-norm) 0.0000004929871304
CG Iteration #61, relres 0.0000013625209397, actualerr(2-norm) 0.7608331835494024, actualerr(A-norm) 0.0000004108205834
CG Iteration #62, relres 0.0000014966966310, actualerr(2-norm) 0.7575401334038933, actualerr(A-norm) 0.0000003423495984
CG Iteration #63, relres 0.0000017426727110, actualerr(2-norm) 0.7575399753417397, actualerr(A-norm) 0.0000003423467200
CG Iteration #64, relres 0.0000009476082089, actualerr(2-norm) 0.7542326097301183, actualerr(A-norm) 0.0000002852889482
CG Iteration #65, relres 0.0000172294470657, actualerr(2-norm) 0.7542177461543430, actualerr(A-norm) 0.0000002850932555
CG Iteration #66, relres 0.0000007884938953, actualerr(2-norm) 0.7509105614111290, actualerr(A-norm) 0.0000002377394322
CG Iteration #67, relres 0.0001122349990700, actualerr(2-norm) 0.7491109143664421, actualerr(A-norm) 0.0000002172461880
CG Iteration #68, relres 0.0000006570759205, actualerr(2-norm) 0.7475737685365459, actualerr(A-norm) 0.0000001981152514
CG Iteration #69, relres 0.0000117186983481, actualerr(2-norm) 0.7442340905754757, actualerr(A-norm) 0.0000001652256205
CG Iteration #70, relres 0.0000005481536619, actualerr(2-norm) 0.7442220296542501, actualerr(A-norm) 0.0000001650953881
CG Iteration #71, relres 0.0000043316456256, actualerr(2-norm) 0.7408575455307919, actualerr(A-norm) 0.0000001376005103
CG Iteration #72, relres 0.0000004588479589, actualerr(2-norm) 0.7408551392601016, actualerr(A-norm) 0.0000001375790336
CG Iteration #73, relres 0.0000008362350341, actualerr(2-norm) 0.7374730543439271, actualerr(A-norm) 0.0000001146500268
CG Iteration #74, relres 0.0000004269354509, actualerr(2-norm) 0.7374728788953449, actualerr(A-norm) 0.0000001146488302
CG Iteration #75, relres 0.0000017198013991, actualerr(2-norm) 0.7340758819187650, actualerr(A-norm) 0.0000000955454974
CG Iteration #76, relres 0.0000003223901849, actualerr(2-norm) 0.7340750616713578, actualerr(A-norm) 0.0000000955405097
CG Iteration #77, relres 0.0000002653111258, actualerr(2-norm) 0.7306615088080424, actualerr(A-norm) 0.0000000796172179
CG Iteration #78, relres 0.0000027208450250, actualerr(2-norm) 0.7306574078707679, actualerr(A-norm) 0.0000000796025956
CG Iteration #79, relres 0.0000002207506725, actualerr(2-norm) 0.7272318723698273, actualerr(A-norm) 0.0000000663475755
