Avgstr = 10.2108242872428470
CG Iteration #1, relres 0.9994240494471697
CG Iteration #2, relres 0.9982606372488336
CG Iteration #3, relres 0.9972423703906291
CG Iteration #4, relres 0.9947801823154983
CG Iteration #5, relres 0.9928916480353702
CG Iteration #6, relres 0.9904636195837655
CG Iteration #7, relres 0.9879328365555264
CG Iteration #8, relres 0.9850976455064007
CG Iteration #9, relres 0.9818861998368826
CG Iteration #10, relres 0.9776361501401344
CG Iteration #11, relres 0.9727543841985899
CG Iteration #12, relres 0.9678575086742298
CG Iteration #13, relres 0.9606585711137834
CG Iteration #14, relres 0.9513885792168603
CG Iteration #15, relres 0.9450359565003958
CG Iteration #16, relres 0.9354129702810088
CG Iteration #17, relres 0.9243437218830157
CG Iteration #18, relres 0.9134570985376906
CG Iteration #19, relres 0.9031591207635030
CG Iteration #20, relres 0.8888791937727204
CG Iteration #21, relres 0.8750965950009877
CG Iteration #22, relres 0.8591601055940656
CG Iteration #23, relres 0.8436104325547941
CG Iteration #24, relres 0.8277370400721359
CG Iteration #25, relres 0.8091529325606701
CG Iteration #26, relres 0.7858151023431270
CG Iteration #27, relres 0.7678104059229649
CG Iteration #28, relres 0.7487168338261583
CG Iteration #29, relres 0.7268642265406841
CG Iteration #30, relres 0.7060852409269270
CG Iteration #31, relres 0.6862843110974294
CG Iteration #32, relres 0.6649003416772495
CG Iteration #33, relres 0.6445416438246530
CG Iteration #34, relres 0.6205128724043708
CG Iteration #35, relres 0.5940093235269538
CG Iteration #36, relres 0.5696724910941412
CG Iteration #37, relres 0.5455071738921838
CG Iteration #38, relres 0.5196899971854358
CG Iteration #39, relres 0.5013887150346386
CG Iteration #40, relres 0.4757142246587477
CG Iteration #41, relres 0.4519534344303318
CG Iteration #42, relres 0.4260504620988228
CG Iteration #43, relres 0.4033577793127025
CG Iteration #44, relres 0.3824636689198054
CG Iteration #45, relres 0.3670423949628384
CG Iteration #46, relres 0.3496958244334137
CG Iteration #47, relres 0.3309800149226867
CG Iteration #48, relres 0.3169755187841481
CG Iteration #49, relres 0.2991107456680660
CG Iteration #50, relres 0.2847122078491312
CG Iteration #51, relres 0.2669434333232811
CG Iteration #52, relres 0.2536494131499624
CG Iteration #53, relres 0.2376962090455205
CG Iteration #54, relres 0.2218977776982574
CG Iteration #55, relres 0.2090355204948784
CG Iteration #56, relres 0.1974014170462512
CG Iteration #57, relres 0.1871036517703165
CG Iteration #58, relres 0.1754123108507868
CG Iteration #59, relres 0.1653740228634656
CG Iteration #60, relres 0.1561118068108771
CG Iteration #61, relres 0.1468909732476675
CG Iteration #62, relres 0.1386953455877220
CG Iteration #63, relres 0.1313269873965142
CG Iteration #64, relres 0.1247315075535275
CG Iteration #65, relres 0.1191578821944726
CG Iteration #66, relres 0.1127685711780122
CG Iteration #67, relres 0.1067283974719825
CG Iteration #68, relres 0.1021831634544315
CG Iteration #69, relres 0.0969434192330757
CG Iteration #70, relres 0.0919778391656468
CG Iteration #71, relres 0.0871632329614241
CG Iteration #72, relres 0.0832355136641374
CG Iteration #73, relres 0.0795838130289955
CG Iteration #74, relres 0.0753958434642128
CG Iteration #75, relres 0.0714717058583616
CG Iteration #76, relres 0.0677802898533445
CG Iteration #77, relres 0.0643401119169661
CG Iteration #78, relres 0.0611441224876937
CG Iteration #79, relres 0.0581845174665574
CG Iteration #80, relres 0.0554210753411418
CG Iteration #81, relres 0.0522086742963030
CG Iteration #82, relres 0.0494767695130398
CG Iteration #83, relres 0.0474331072630783
